,"Symbol","Name","Exchange","Sector","industry","dividendRate","exDividendDate","lastSplitDate","lastSplitFactor","Buy","Sell","Hold","Previous_Earnings_Date","Expected","Actual","Surprise","Future Earnings Date","daysSinceLastDividend","BBP","Exponential Moving Average","day1","day2","day3","day4"
53,"DECK","Deckers Outdoor Corporation","NYSE","Consumer Non-Durables","Shoe Manufacturing",,0,0,0,6,0,0,"2020-05-20",0.09,0.57,512.9,"2020-10-22",0,-0.536289716788332,0.85139595378698,1,1,1,1
54,"ECCB","Eagle Point Credit Company Inc.","NYSE",,,1.94,1599696000,0,0,0,0,0,"2020-05-20",0.32,0.36,14.29,,-113,0.143143321396636,0.858207539287256,0,0,0,1
55,"DAVA","Endava plc","NYSE","Technology","EDP Services",,0,0,0,1,0,1,"2020-05-20",21.68,23,6.09,,0,0.160942814662133,0.937067104250305,0,1,1,1
56,"RAMP","LiveRamp Holdings, Inc.","NYSE","Technology","EDP Services",,1219104000,0,0,3,0,0,"2020-05-20",-0.14,-0.05,64.29,,4292,0.176105515326021,0.702837032977044,1,1,1,1
57,"IX","Orix Corp Ads","NYSE","Finance","Diversified Financial Services",3.52,1585267200,0,0,0,0,0,"2020-05-20","-","-","-",,54,0.532626263998835,0.712996868634678,0,0,1,1
58,"PANW","Palo Alto Networks, Inc.","NYSE","Technology","Computer peripheral equipment",,0,0,0,18,1,12,"2020-05-20",0.94,1.17,24.87,"2020-11-23",0,0.832141691617204,0.81452640424492,1,1,1,1
59,"PEI","Pennsylvania Real Estate Investment Trust","NYSE","Consumer Services","Real Estate Investment Trusts",,1590710400,0,0,0,2,0,"2020-05-20",-0.25,-0.26,-4,,-9,-0.109429348044025,0.196025608076627,1,1,1,1
60,"PRSP","Perspecta Inc.","NYSE","Technology","EDP Services",0.28,1598313600,0,0,0,0,5,"2020-05-20",0.51,0.55,7.21,"2020-11-11",-97,0.135370243560112,0.79281040224065,0,1,1,1
61,"SLQT","SelectQuote, Inc.","NYSE","Finance","Specialty Insurers",,0,0,0,0,0,0,"2020-05-20","-","-","-",,0,,,0,0,0,0
62,"SPN","Superior Energy Services, Inc.","NYSE","Energy","Oilfield Services/Equipment",,1453939200,0,0,0,1,0,"2020-05-20",-1,-0.78,22.16,,1574,-0.837149555594476,,1,1,1,1
63,"TK","Teekay Corporation","NYSE","Transportation","Marine Transportation",,1548892800,0,0,0,0,0,"2020-05-20",-0.13,-0.02,84.62,"2020-11-11",475,-0.702916912553145,0.657500025217351,0,0,0,0
64,"USPH","U.S. Physical Therapy, Inc.","NYSE","Health Care","Medical/Nursing Services",1.28,1583971200,0,0,1,0,0,"2020-05-20",0.4,0.3,-25.37,"2020-11-06",69,-0.486545658335436,0.603251043211927,1,1,1,1
65,"CRMT","America&#39;s Car-Mart, Inc.","Nasdaq","Consumer Durables","Automotive Aftermarket",,0,0,0,1,0,1,"2020-05-20",1.2,1.35,12.5,"2020-11-16",0,0.149518436006325,0.607041678868039,1,1,1,1
66,"CCCL","China Ceramics Co., Ltd.","Nasdaq","Capital Goods","Building Materials",,1418169600,0,0,0,0,0,"2020-05-20","-","-","-",,1988,0.036466052375981,0.905777772267659,0,0,0,0
67,"CHUY","Chuy&#39;s Holdings, Inc.","Nasdaq","Consumer Services","Restaurants",,0,0,0,4,0,4,"2020-05-20",0.03,0.01,-60,"2020-11-05",0,-0.694576560599386,0.507034188689021,1,1,1,1
68,"CLRO","ClearOne, Inc.","Nasdaq","Public Utilities","Telecommunications Equipment",,1520294400,0,0,0,0,0,"2020-05-20","-","-","-",,806,-0.271108077981607,1.02814375070267,0,0,0,0
69,"PLUS","ePlus inc.","Nasdaq","Technology","Retail: Computer Software & Peripheral Equipment",,1355356800,0,0,0,0,0,"2020-05-20",0.95,1.24,30.53,,2715,-0.146497289924108,0.78514300973334,0,1,1,1
70,"IFRX","InflaRx N.V.","Nasdaq",,,,0,0,0,1,0,1,"2020-05-20",-0.53,-0.32,39.39,,0,0.497758287701119,2.50276720288953,0,1,1,1
71,"LCUT","Lifetime Brands, Inc.","Nasdaq","Capital Goods","Industrial Machinery/Components",0.17,1604016000,0,0,0,0,0,"2020-05-20",-0.18,-0.27,-45.95,,-163,-1.08465072102631,0.725338649156535,0,1,1,1
72,"LIZI","LIZHI INC.","Nasdaq","Technology","Computer Software: Programming, Data Processing",,0,0,0,1,0,0,"2020-05-20",-0.78,-1.27,-62.82,,0,-0.731549287601328,,0,1,1,1
73,"NYMT","New York Mortgage Trust, Inc.","Nasdaq","Consumer Services","Real Estate Investment Trusts",0.2,1593475200,0,0,0,1,2,"2020-05-20",0.13,-1.71,-1446.46,,-41,-1.23064599422332,0.322971982446203,1,0,1,1
74,"NYMTP","New York Mortgage Trust, Inc.","Nasdaq","Consumer Services","Real Estate Investment Trusts",,1593475200,0,0,0,0,0,"2020-05-20",0.13,-1.71,-1446.46,,-41,0.223309300382939,0.709583160611931,1,1,1,1
75,"PAVMW","PAVmed Inc.","Nasdaq","Health Care","Medical/Dental Instruments",,0,0,0,0,0,0,"2020-05-20",-0.11,-0.33,-200,,0,,,0,0,0,0
76,"SIC","Select Interior Concepts, Inc.","Nasdaq","Basic Industries","Homebuilding",,0,0,0,3,0,0,"2020-05-20",-0.09,-0.16,-77.78,"2020-11-03",0,-0.255286145981142,0.237651946462689,1,0,1,0
77,"SYPR","Sypris Solutions, Inc.","Nasdaq","Capital Goods","Industrial Machinery/Components",,1418774400,0,0,0,0,0,"2020-05-20","-","-","-",,1981,1.10951581723333,0.85100404026143,0,0,0,0
78,"TCX","Tucows Inc.","Nasdaq","Technology","EDP Services",,0,0,0,0,0,0,"2020-05-20",0.27,0.26,-3.7,,0,0.343204507102208,0.966498121065318,1,1,1,1
79,"XENE","Xenon Pharmaceuticals Inc.","Nasdaq","Health Care","Major Pharmaceuticals",,0,0,0,0,0,0,"2020-05-20",-0.32,-0.22,31.68,,0,0.092876507131836,1.2875581516054,0,1,1,1
80,"SVM","Silvercorp Metals Inc.","AMEX","Basic Industries","Precious Metals",0.03,1591228800,0,0,0,0,0,"2020-05-20",0.02,0.02,-13.04,,-15,0.168597353471937,0.824904156930287,1,1,1,1
81,"TRT","Trio-Tech International","AMEX","Technology","Industrial Machinery/Components",,1203552000,0,0,0,0,0,"2020-05-20","-","-","-","2020-11-11",4472,0.810151606438587,0.792987493560007,1,1,1,1
82,"CAE","CAE Inc","NYSE","Miscellaneous","Industrial Machinery/Components",,1583971200,0,0,0,0,0,"2020-05-21",0.4,0.46,15.29,,70,-0.745475702564722,0.557401714842247,0,1,1,1
83,"EIC","Eagle Point Income Company Inc.","NYSE",,,,0,0,0,0,0,0,"2020-05-21","-","-","-",,0,-0.387205302035619,0.507393337512813,1,1,1,1
84,"FPH","Five Point Holdings, LLC","NYSE","Finance","Real Estate",,0,0,0,0,0,0,"2020-05-21",-0.08,-0.17,-112.5,,0,-0.117512563084063,0.714658945734015,1,1,1,1
85,"VAC","Marriott Vacations Worldwide Corporation","NYSE","Finance","Real Estate",2.16,1582675200,0,0,3,0,0,"2020-05-21",1.71,2.15,25.95,"2020-11-02",85,-0.892599823257018,0.622067503211298,1,1,1,1
86,"WILC","G. Willi-Food International,  Ltd.","Nasdaq","Consumer Non-Durables","Food Distributors",,1480982400,0,0,0,0,0,"2020-05-21","-","-","-","2020-11-17",1262,0.573262307761169,1.00227843383236,1,1,1,1
87,"ICLK","iClick Interactive Asia Group Limited","Nasdaq","Technology","Computer Software: Prepackaged Software",,0,0,0,0,0,0,"2020-05-21",-0.04,0.01,127.03,,0,1.00215341873259,1.46037733962908,1,1,1,1
88,"KROS","Keros Therapeutics, Inc.","Nasdaq","Health Care","Major Pharmaceuticals",,0,0,0,0,0,0,"2020-05-21",-0.37,-5.11,-1281.08,,0,-0.200856975787804,,1,1,0,0
89,"NYMTO","New York Mortgage Trust, Inc.","Nasdaq","Consumer Services","Real Estate Investment Trusts",3.94,1593475200,0,0,0,0,0,"2020-05-21","-","-","-",,-40,-0.052922280774706,0.696598929747717,0,1,1,1
90,"AZO","AutoZone, Inc.","NYSE","Consumer Services","Other Specialty Stores",,0,0,0,13,0,4,"2020-05-25",13.8,14.39,4.28,"2020-12-08",0,,,,,,
91,"COE","China Online Education Group","NYSE","Consumer Services","Other Consumer Services",,0,0,0,0,0,0,"2020-05-25",0.43,2.26,431.76,"2020-12-07",0,,,,,,
92,"CNF","CNFinance Holdings Limited","NYSE","Finance","Finance: Consumer Services",,0,0,0,0,0,0,"2020-05-25","-","-","-",,0,,,,,,
93,"MTL","Mechel PAO","NYSE","Basic Industries","Steel/Iron Ore",,1337558400,0,0,0,0,0,"2020-05-25","-","-","-",,2926,,,,,,
94,"TLK","PT Telekomunikasi Indonesia, Tbk","NYSE","Public Utilities","Telecommunications Equipment",0.79,1594252800,0,0,0,0,0,"2020-05-25","-","-","-",,-45,,,,,,
95,"QD","Qudian Inc.","NYSE","Finance","Finance: Consumer Services",,0,0,0,0,0,0,"2020-05-25",-1.81,-3.57,-97.67,"2020-09-07",0,,,,,,
96,"KRKR","36Kr Holdings Inc.","Nasdaq","Miscellaneous","Business Services",,0,0,0,1,0,0,"2020-05-25",-0.27,-0.29,-7.41,,0,,,,,,
97,"CVCO","Cavco Industries, Inc.","Nasdaq","Basic Industries","Homebuilding",,0,0,0,0,0,0,"2020-05-25",1.55,1.29,-16.77,"2020-10-26",0,,,,,,
98,"DOYU","DouYu International Holdings Limited","Nasdaq","Technology","Computer Software: Programming, Data Processing",,0,0,0,0,0,0,"2020-05-25",0.62,0.95,54.47,,0,,,,,,
99,"ESLT","Elbit Systems Ltd.","Nasdaq","Capital Goods","Military/Government/Technical",1.76,1598832000,0,0,0,0,0,"2020-05-25",1.55,"-","-",,-98,,,,,,
100,"NARI","Inari Medical, Inc.","Nasdaq","Health Care","Medical/Dental Instruments",,0,0,0,0,0,0,"2020-05-25","-","-","-",,0,,,,,,
101,"MGIC","Magic Software Enterprises Ltd.","Nasdaq","Technology","Computer Software: Prepackaged Software",0.26,1598486400,0,0,0,0,0,"2020-05-25",0.15,0.19,24.18,"2020-11-12",-94,,,,,,
102,"UEPS","Net 1 UEPS Technologies, Inc.","Nasdaq","Finance","Investment Bankers/Brokers/Service",,0,0,0,0,0,0,"2020-05-25",-0.1,-0.11,-10,"2020-11-05",0,,,,,,
103,"STNE","StoneCo Ltd.","Nasdaq","Technology","EDP Services",,0,0,0,3,0,1,"2020-05-25",0.77,0.58,-24.87,,0,,,,,,
104,"VSAT","ViaSat, Inc.","Nasdaq","Technology","Radio And Television Broadcasting And Communications Equipment",,0,0,0,2,0,2,"2020-05-25",-0.01,0.03,350,,0,,,,,,
105,"VIOT","Viomi Technology Co., Ltd","Nasdaq","Consumer Durables","Consumer Electronics/Appliances",,1553644800,0,0,0,0,0,"2020-05-25",0.53,0.44,-16.98,,425,,,,,,
106,"EMAN","eMagin Corporation","AMEX","Technology","Semiconductors",,1355788800,0,0,0,0,0,"2020-05-25","-",-0.03,"-",,2715,,,,,,
107,"BEST","BEST Inc.","NYSE","Transportation","Trucking Freight/Courier Services",,0,0,0,0,0,0,"2020-05-26",-1.23,-1.81,-46.68,,0,-0.214925133940879,0.948473945644161,,,,
108,"CANG","Cango Inc.","NYSE","Technology","Computer Software: Prepackaged Software",,1588291200,0,0,0,0,0,"2020-05-26",-0.1,-0.1,"-",,25,0.138522186958633,0.753678691953169,,,,
