,MSFT,MSFT,MSFT,MSFT,MSFT,AAPL,AAPL,AAPL,AAPL,AAPL,SPY,SPY,SPY,SPY,SPY
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2020-08-03,211.00992369865236,217.11516044519865,209.93252629243963,216.01780700683594,78983000,432.02105635248137,445.74630980070503,430.7932895401207,434.96575927734375,77037800,328.32000732421875,329.6199951171875,327.7300109863281,328.7900085449219,53077900
2020-08-04,213.65353279837942,214.25209200280906,209.80284047893068,212.77565002441406,49280100,435.74434256486785,442.36241492402235,432.7696949307882,437.8705139160156,43267900,327.8599853515625,330.05999755859375,327.8599853515625,330.05999755859375,41917900
2020-08-05,214.38176335601926,214.48152829518614,211.05980703405658,212.42649841308594,28858600,436.7225827795075,440.7752731872479,434.8060249764513,439.4576416015625,30498000,331.4700012207031,332.3900146484375,331.17999267578125,332.1099853515625,42866400
2020-08-06,211.82793796963628,215.84821839801208,211.03984975405075,215.82827758789062,32656800,440.82519657240715,456.8263456169921,438.399577237199,454.7900085449219,50607200,331.4800109863281,334.4599914550781,331.1300048828125,334.3299865722656,43679400
2020-08-07,214.33190074670563,215.17984186000382,210.42134033222692,211.9676055908203,27789600,452.82000732421875,454.70001220703125,441.1700134277344,444.45001220703125,49453300,333.2799987792969,334.8800048828125,332.29998779296875,334.57000732421875,57265200
2020-08-10,211.1595535384757,211.3690538187416,205.85239069498314,207.747802734375,36716500,450.3999938964844,455.1000061035156,440.0,450.9100036621094,53100900,335.05999755859375,335.7699890136719,332.9599914550781,335.57000732421875,44282100
2020-08-11,206.66044025060287,207.14924888047526,202.65013016144528,202.88955688476562,36446500,447.8800048828125,449.92999267578125,436.42999267578125,437.5,46975600,336.8500061035156,337.5400085449219,332.010009765625,332.79998779296875,69601100
2020-08-12,204.79494247762344,209.77291471863376,204.25625136949068,208.685546875,28041400,441.989990234375,453.1000061035156,441.19000244140625,452.0400085449219,41486200,335.44000244140625,338.2799987792969,335.4100036621094,337.44000244140625,53826100
2020-08-13,208.93493727639418,210.84033495920863,207.6480395907686,208.19671630859375,22588900,457.7200012207031,464.1700134277344,455.7099914550781,460.0400085449219,52520500,336.6099853515625,338.25,335.8299865722656,336.8299865722656,41816100
2020-08-14,208.25657844744217,209.08457876354154,207.0095927705443,208.396240234375,17958900,459.32000732421875,460.0,452.17999267578125,459.6300048828125,41391300,336.4100036621094,337.4200134277344,335.6199951171875,336.8399963378906,47260400
2020-08-17,209.0945657949415,210.6807279333271,208.41619766671792,209.77291870117188,20184800,464.25,464.3500061035156,455.8500061035156,458.42999267578125,29890400,337.94000244140625,338.3399963378906,336.8500061035156,337.9100036621094,35481000
2020-08-18,210.02230407720404,211.84789284484813,208.70549518273484,210.97999572753906,21336200,457.4100036621094,464.0,456.0299987792969,462.25,26408400,338.3399963378906,339.1000061035156,336.6099853515625,338.6400146484375,38733900
2020-08-19,211.49000549316406,212.10000610351562,209.25,209.6999969482422,27627600,463.92999267578125,468.6499938964844,462.44000244140625,462.8299865722656,36384500,339.04998779296875,339.6099853515625,336.6199951171875,337.2300109863281,68054200
2020-08-20,209.5399932861328,215.0,208.91000366210938,214.5800018310547,26981500,463.0,473.57000732421875,462.92999267578125,473.1000061035156,31726800,335.3599853515625,338.79998779296875,335.2200012207031,338.2799987792969,42207800
2020-08-21,213.86000061035156,216.25,212.85000610351562,213.02000427246094,36249300,477.04998779296875,499.4700012207031,477.0,497.4800109863281,84513700,337.9200134277344,339.7200012207031,337.54998779296875,339.4800109863281,55106600
2020-08-24,214.7899932861328,215.52000427246094,212.42999267578125,213.69000244140625,25460100,514.7899780273438,515.1400146484375,495.75,503.42999267578125,86484400,342.1199951171875,343.0,339.45001220703125,342.9200134277344,48588700
2020-08-25,213.10000610351562,216.61000061035156,213.10000610351562,216.47000122070312,23003700,498.7900085449219,500.7200012207031,492.2099914550781,499.29998779296875,52776900,343.5299987792969,344.2099914550781,342.2699890136719,344.1199951171875,38369500
